objectID,title,department,objectDate,culture,medium,classification,artistDisplayName,country,period,objectBeginDate,objectEndDate
213800,Galloon,European Sculpture and Decorative Arts,17th–18th century,,Silk,Textiles-Trimmings,,,,1600,1799
341675,Bacchante,Drawings and Prints,first half 19th century,,"Pen and brown ink, brush and pink wash",Drawings,William Etty,,,1800,1849
71799,Piece,Asian Art,18th century,Japan,Silk / Compound weave,Textiles-Woven,,,Edo period (1615–1868),1700,1799
917565,A winged putto holding a lance,Drawings and Prints,1700–1741,,Engraving,Prints,Giovanni Girolamo Frezza,,,1700,1741
821056,Ethel Clayton from Movie Stars Drawings strip cards (W500),Drawings and Prints,ca. 1920–30,,Commercial color photolithograph,Prints,,,,1919,1930
443168,Ewer,Islamic Art,4th–5th century,,Bronze; cast,Metal,,Egypt,,300,499
222650,Piece,European Sculpture and Decorative Arts,ca. 1715,,Silk and silver thread,Textiles-Woven,,,,1710,1720
449858,Mold for Making Ceramics,Islamic Art,late 9th–early 10th century,,Clay; molded,Ceramics,,Iran,,875,925
462712,Solidus,Medieval Art,381–383,Byzantine,Gold,Coins,,,,381,383
27682,Brigandine Plate,Arms and Armor,1400–1450,Italian,Iron alloy,Armor Parts,,Italy,,1400,1450
485106,Glass,Modern and Contemporary Art,ca. 1950,,Glass,Glass,Kaj Franck,,,1950,1950
50922,Covered Box,Asian Art,,China,Porcelain with peachbloom glaze and green mottling,Ceramics,,,"Qing dynasty (1644–1911), Kangxi period (1662–1722)",1662,1722
352240,A New Book of Ornaments,Drawings and Prints,"April 23, 1758",,,Books,Thomas Johnson,,,1758,1758
548888,Artists Sketch of Flute Player (?),Egyptian Art,ca. 1479–1458 B.C.,,"Limestone, ink",,,Egypt,New Kingdom,-1473,-1458
452166,"""Faramarz Encircled While Battling Bahman"", Folio 475r from the Shahnama (Book of Kings) of Shah Tahmasp",Islamic Art,ca. 1530–35,,"Opaque watercolor, ink, silver, and gold on paper",Codices,Abu'l Qasim Firdausi,Iran,,1505,1560
441230,A Female Martyr Saint,European Paintings,ca. 1650,,Oil on wood,Paintings,Carlo Francesco Nuvolone,,,1645,1655
406528,"Interior view of St. Peter's Basilica in the Vatican, from ""Vedute di Roma"" (Views of Rome), part I",Drawings and Prints,ca. 1750–78,,Etching; fourth state of six (Hind),Prints,Giovanni Battista Piranesi,,,1750,1780
271827,Women Seated on the Grass,Photographs,1880s,,Albumen silver print,Photographs,Thomas Eakins,,,1880,1889
913644,Jacket,Costume Institute,ca. 1940,American,"wool, glass",,Gilbert Adrian,,,1935,1945
230221,Fragment,European Sculpture and Decorative Arts,late 16th century,,Silk,Textiles-Velvets,,,,1585,1599
196453,Pregnant Woman,European Sculpture and Decorative Arts,"modeled probably ca. 1896–1910, cast 1920",,Bronze,Sculpture-Bronze,Edgar Degas,,,1891,1920
556097,Hippopotamus head amulet,Egyptian Art,ca. 1981–1550 B.C.,,Carnelian,,,Egypt,Middle Kingdom–Second Intermediate Period,-1981,-1550
641047,"Landscape with Windmill, bound in L'Oeuvre original de Vivant Denon. Collection de eaux-fortes, Volume 1",Drawings and Prints,1873,,Lithograph,Books,Baron Dominique Vivant Denon,France,,1873,1873
268897,[Man with White Hair in Checked Pants],Photographs,1843–47,,Salted paper print from paper negative,Photographs,Hill and Adamson,,,1843,1847
217827,Sample,European Sculpture and Decorative Arts,19th century,,Crochet,Textiles-Laces,,,,1800,1899
239787,Glass perfume bottle,Greek and Roman Art,1st century CE,Roman,Glass,Glass,,,Early Imperial,1,99
338454,Frieze with Ornamental Foliage with a Nude Man Looking Upward,Drawings and Prints,ca. 1540–70,,"Engraving, first state of two",Prints,"Anonymous, Italian, 16th century",,,1535,1575
80264,Hat,Costume Institute,1930s,Italian,"straw, leather",,,,,1930,1939
557205,Fragmentary Statuette of a Woman,Egyptian Art,ca. 1295–1213 B.C.,,Quartzite,,,Egypt,"New Kingdom, Ramesside",-1295,-1295
504397,Harmonium,Musical Instruments,after 1886,French,"Wood, various materials",Aerophone-Free Reed-harmonium,Victor and Auguste Mustel,France,,1886,1886
